noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,8,8,0.8,0,1,3,4,3.0,7,0,0.5602225238064076,0.5602225238064076,0.5602225238064076,2.6666666666666665,[3],True,Depolarizing_d8_delta0.800
depolarizing,8,8,0.9,0,1,3,4,3.0,7,0,0.7323888751611377,0.7323888751611377,0.7323888751611377,2.6666666666666665,[3],True,Depolarizing_d8_delta0.900
depolarizing,8,8,0.95,0,1,3,4,3.0,7,0,0.8090730050750632,0.8090730050750632,0.8090730050750632,2.6666666666666665,[3],True,Depolarizing_d8_delta0.950
depolarizing,8,8,0.99,0,1,3,4,3.0,7,0,0.8627567210141457,0.8627567210141457,0.8627567210141457,2.6666666666666665,[3],True,Depolarizing_d8_delta0.990
depolarizing,8,16,0.01,0,1,4,5,4.0,15,0,0.0005572823386898323,0.0005572823386898323,0.0005572823386898323,4.0,[4],True,Depolarizing_d8_delta0.010
depolarizing,8,16,0.1,0,1,4,5,4.0,15,0,0.0066682974311099985,0.0066682974311099985,0.0066682974311099985,4.0,[4],True,Depolarizing_d8_delta0.100
depolarizing,8,16,0.5,0,1,4,5,4.0,15,0,0.09985721558645191,0.09985721558645191,0.09985721558645191,4.0,[4],True,Depolarizing_d8_delta0.500
depolarizing,8,16,0.7,0,1,4,5,4.0,15,0,0.2993845657194325,0.2993845657194325,0.2993845657194325,4.0,[4],True,Depolarizing_d8_delta0.700
depolarizing,8,16,0.8,0,1,4,5,4.0,15,0,0.48864373073151135,0.48864373073151135,0.48864373073151135,4.0,[4],True,Depolarizing_d8_delta0.800
depolarizing,8,16,0.9,0,1,4,5,4.0,15,0,0.7045688630289941,0.7045688630289941,0.7045688630289941,4.0,[4],True,Depolarizing_d8_delta0.900
depolarizing,8,16,0.95,0,1,4,5,4.0,15,0,0.7987728347105705,0.7987728347105705,0.7987728347105705,4.0,[4],True,Depolarizing_d8_delta0.950
depolarizing,8,16,0.99,0,1,4,5,4.0,15,0,0.8612842373716549,0.8612842373716549,0.8612842373716549,4.0,[4],True,Depolarizing_d8_delta0.990
depolarizing,8,32,0.01,0,1,5,6,5.0,31,0,0.0002788186837070078,0.0002788186837070078,0.0002788186837070078,6.4,[5],True,Depolarizing_d8_delta0.010
depolarizing,8,32,0.1,0,1,5,6,5.0,31,0,0.003359642602157223,0.003359642602157223,0.003359642602157223,6.4,[5],True,Depolarizing_d8_delta0.100
depolarizing,8,32,0.5,0,1,5,6,5.0,31,0,0.05590480934800024,0.05590480934800024,0.05590480934800024,6.4,[5],True,Depolarizing_d8_delta0.500
depolarizing,8,32,0.7,0,1,5,6,5.0,31,0,0.2076185279449702,0.2076185279449702,0.2076185279449702,6.4,[5],True,Depolarizing_d8_delta0.700
depolarizing,8,32,0.8,0,1,5,6,5.0,31,0,0.4034855537225436,0.4034855537225436,0.4034855537225436,6.4,[5],True,Depolarizing_d8_delta0.800
depolarizing,8,32,0.9,0,1,5,6,5.0,31,0,0.6695631907080524,0.6695631907080524,0.6695631907080524,6.4,[5],True,Depolarizing_d8_delta0.900
depolarizing,8,32,0.95,0,1,5,6,5.0,31,0,0.7863990354041985,0.7863990354041985,0.7863990354041985,6.4,[5],True,Depolarizing_d8_delta0.950
depolarizing,8,32,0.99,0,1,5,6,5.0,31,0,0.8596198718573493,0.8596198718573493,0.8596198718573493,6.4,[5],True,Depolarizing_d8_delta0.990
depolarizing,8,64,0.01,0,1,6,7,6.0,63,0,0.00013945377082243138,0.00013945377082243138,0.00013945377082243138,10.666666666666666,[6],True,Depolarizing_d8_delta0.010
